player_name,club,height,weight,birthplace,status,height in cm,weight in kg
Fabián Castillo,FC Dallas,5' 8'',150,Colombia,Active,172.72,68.0388555
Cordell Cato,San Jose Earthquakes,5' 9'',150,Trinidad and Tobago,Active,175.26,68.0388555
Darwin Cerén,Orlando City SC,5' 7'',165,El Salvador,Active,170.18,74.84274105
Diego Chara,Portland Timbers,5' 8'',150,Colombia,Active,172.72,68.0388555
Ian Christianson,New York Red Bulls,5' 11'',155,United States,Active,180.34,70.30681735
Ricardo Clark,Houston Dynamo,5' 10'',160,USA,Active,177.8,72.5747792
Steve Clark,Columbus Crew SC,6' 2'',192,USA,Active,187.96,87.08973504
Caleb Clarke,Vancouver Whitecaps FC,6' 1'',165,Canada,Active,185.42,74.84274105
Jorge Claros,Sporting Kansas City,5' 9'',155,Honduras,Active,175.26,70.30681735
A.J. Cochran,Houston Dynamo,6' 3'',195,USA,Active,190.5,88.45051215
Greg Cochrane,Chicago Fire,5' 8'',140,USA,Active,172.72,63.5029318
Razvan Cocis,Chicago Fire,5' 11'',161,Romania,Active,180.34,73.02837157
Aurélien Collin,Orlando City SC,6' 2'',169,France,Active,187.96,76.65711053
Gustavo Silva Conceicao,Orlando City SC,6' 1'',198,Brazil,Active,185.42,89.81128926
Kenny Cooper,Seattle Sounders FC,6' 3'',210,USA,Active,190.5,95.2543977
Coy Craft,FC Dallas,6' 2'',175,USA,Active,187.96,79.37866475
Warren Creavalle,Toronto FC,5' 11'',170,USA,Active,180.34,77.1107029
Maxime Crépeau,Montreal Impact,5' 11'',199,Canada,Active,180.34,90.26488163
Sam Cronin,San Jose Earthquakes,5' 10'',165,USA,Active,177.8,74.84274105
Danny Cruz,Philadelphia Union,5' 8'',170,USA,Active,172.72,77.1107029
Charlie Davies,New England Revolution,5' 10'',175,USA,Active,177.8,79.37866475
Brad Davis,Houston Dynamo,5' 11'',170,USA,Active,180.34,77.1107029
Sean Davis,New York Red Bulls,6',165,,Active,182.88,74.84274105
Christian Dean,Vancouver Whitecaps FC,6' 3'',198,USA,Active,190.5,89.81128926
Jermain Defoe,Toronto FC,5' 7'',143,England,Active,170.18,64.86370891
A.J. DeLaGarza,LA Galaxy,5' 9'',150,USA,Active,175.26,68.0388555
Nick DeLeon,D.C. United,5' 10'',170,USA,Active,177.8,77.1107029
Marco Delgado,Toronto FC,5' 9'',146,USA,Active,175.26,66.22448602
Edder Delgado,Honduras,5' 9'',NA,Honduras,Active,175.26,#VALUE!
Clint Dempsey,Seattle Sounders FC,6' 1'',170,USA,Active,185.42,77.1107029
Tyler Deric,Houston Dynamo,6' 3'',185,USA,Active,190.5,83.91458845
Mauro Díaz,FC Dallas,5' 7'',137,Argentina,Active,170.18,62.14215469
Bright Dike,Toronto FC,6',213,United States,Active,182.88,96.61517481
Yannick Djalo,San Jose Earthquakes,5' 6'',140,Guinea-Bissau,Active,167.64,63.5029318
Guilherme do Prado,Chicago Fire,6' 3'',180,Brazil,Active,190.5,81.6466266
Marco Donadel,Montreal Impact,5' 10'',160,Italy,Active,177.8,72.5747792
Patrick Doody,Chicago Fire,6',180,United States,Active,182.88,81.6466266
Andy Dorman,New England Revolution,6' 1'',160,England,Active,185.42,72.5747792
Conor Doyle,D.C. United,6' 2'',172,USA,Active,187.96,78.01788764
Andrew Driver,D.C. United,5' 9'',152,England,Active,175.26,68.94604024
Dilly Duka,Montreal Impact,5' 9'',160,USA,Active,175.26,72.5747792
Todd Dunivant,LA Galaxy,6' 1'',175,USA,Active,185.42,79.37866475
Matt Dunn,New York City FC,5' 10'',163,USA,Active,177.8,73.93555631
Chris Duvall,New York Red Bulls,5' 10'',150,USA,Active,177.8,68.0388555
Dom Dwyer,Sporting Kansas City,5' 9'',180,England,Active,175.26,81.6466266
Andrew Dykstra,D.C. United,6' 4'',195,USA,Active,193.04,88.45051215
Otis Earle,,6',170,England,Active,182.88,77.1107029
Maurice Edu,Philadelphia Union,6',170,USA,Active,182.88,77.1107029
Kevin Ellis,Sporting Kansas City,5' 9'',160,USA,Active,175.26,72.5747792
Charles Eloundou,Colorado Rapids,5' 7'',155,Cameroon,Active,170.18,70.30681735
Fabián Espíndola,D.C. United,5' 9'',160,Argentina,Active,175.26,72.5747792
Roger Espinoza,Sporting Kansas City,5' 11'',170,Honduras,Active,180.34,77.1107029
David Estrada,D.C. United,5' 8'',160,Mexico,Active,172.72,72.5747792
Estrela,Orlando City SC,5' 7'',150,Angola,Active,170.18,68.0388555
Brad Evans,Seattle Sounders FC,6' 1'',160,USA,Active,185.42,72.5747792
Fábinho,Philadelphia Union,5' 7'',149,Brazil,Active,170.18,67.58526313
Diego Fagundez,New England Revolution,5' 8'',140,Uruguay,Active,172.72,63.5029318
Andrew Farrell,New England Revolution,5' 11'',165,USA,Active,180.34,74.84274105
Benny Feilhaber,Sporting Kansas City,5' 9'',160,Brazil,Active,175.26,72.5747792
Leo Fernandes,Philadelphia Union,6' 1'',165,,Active,185.42,74.84274105
Lalo Fernandez,Real Salt Lake,6' 3'',170,Mexico,Active,190.5,77.1107029
Gastón Fernández,Portland Timbers,5' 8'',160,Argentina,Active,172.72,72.5747792
Collin Fernandez,Chicago Fire,5' 8'',140,,Active,172.72,63.5029318
Robbie Findley,Toronto FC,5' 9'',165,USA,Active,175.26,74.84274105
Ethan Finlay,Columbus Crew SC,5' 9'',165,USA,Active,175.26,74.84274105
Akira Fitzgerald,New York City FC,5' 9'',174,Japan,Active,175.26,78.92507238
George Fochive,Portland Timbers,5' 9'',172,USA,Active,175.26,78.01788764
Josh Ford,Orlando City SC,6',175,USA,Active,182.88,79.37866475
Shaun Francis,San Jose Earthquakes,6',165,Jamaica,Active,182.88,74.84274105
Waylon Francis,Columbus Crew SC,5' 9'',160,Costa Rica,Active,175.26,72.5747792
Sean Franklin,D.C. United,5' 10'',160,USA,Active,177.8,72.5747792
Stefan Frei,Seattle Sounders FC,6' 3'',195,Switzerland,Active,190.5,88.45051215
Kianz Froese,Vancouver Whitecaps FC,5' 9'',170,Cuba,Active,175.26,77.1107029
Raymon Gaddis,Philadelphia Union,5' 9'',151,USA,Active,175.26,68.49244787
Jérémy Gagnon-Laparé,Montreal Impact,5' 11'',165,Canada,Active,180.34,74.84274105
Romain Gall,Columbus Crew SC,5' 9'',140,France,Active,175.26,63.5029318
Boniek Garcia,Houston Dynamo,5' 9'',150,Honduras,Active,175.26,68.0388555
Olmes García,Real Salt Lake,6',175,Colombia,Active,182.88,79.37866475
Danny Garcia,FC Dallas,5' 5'',140,USA,Active,165.1,63.5029318
Dan Gargan,LA Galaxy,5' 11'',175,USA,Active,180.34,79.37866475
Luis Garrido,Houston Dynamo,5' 7'',165,Honduras,Active,170.18,74.84274105
Eric Gehrig,Chicago Fire,6' 1'',160,USA,Active,185.42,72.5747792
Kevan George,Columbus Crew SC,6' 2'',170,Trinidad and Tobago,Active,187.96,77.1107029
Luis Gil,Real Salt Lake,5' 10'',155,USA,Active,177.8,70.30681735
Gilberto,Toronto FC,5' 10'',160,Brazil,Active,177.8,72.5747792
Justen Glad,Real Salt Lake,6',145,USA,Active,182.88,65.77089365
Jackson Gonçalves,Toronto FC,5' 9'',155,Brazil,Active,175.26,70.30681735
José Gonçalves,New England Revolution,6' 2'',180,Portugal,Active,187.96,81.6466266
Leo González,Seattle Sounders FC,6' 1'',174,Costa Rica,Active,185.42,78.92507238
Omar Gonzalez,LA Galaxy,6' 5'',205,USA,Active,195.58,92.98643585
Jesse Gonzalez,FC Dallas,6' 4'',180,USA,Active,193.04,81.6466266
Clarence Goodson,San Jose Earthquakes,6' 4'',180,USA,Active,193.04,81.6466266
Alan Gordon,LA Galaxy,6' 3'',190,USA,Active,190.5,86.1825503
Ned Grabavoy,New York City FC,5' 7'',160,USA,Active,170.18,72.5747792
Andy Gruenebaum,San Jose Earthquakes,6' 1'',175,USA,Active,185.42,79.37866475
Nick Hagglund,Toronto FC,6' 1'',193,USA,Active,185.42,87.54332741
Marlon Hairston,Colorado Rapids,6',157,USA,Active,182.88,71.21400209
Jeremy Hall,New England Revolution,5' 10'',177,USA,Active,177.8,80.28584949
Tally Hall,Orlando City SC,6' 4'',215,USA,Active,193.04,97.52235955
Markus Halsti,D.C. United,6' 1'',185,Finland,Active,185.42,83.91458845
Bill Hamid,D.C. United,6' 3'',225,USA,Active,190.5,102.0582833
Jordan Hamilton,Toronto FC,6',194,Canada,Active,182.88,87.99691978
Ty Harden,San Jose Earthquakes,6' 1'',190,USA,Active,185.42,86.1825503
Michael Harrington,Colorado Rapids,6',170,USA,Active,182.88,77.1107029
Atiba Harris,FC Dallas,6' 3'',185,Saint Kitts and Nevis,Active,190.5,83.91458845
Jordan Harvey,Vancouver Whitecaps FC,5' 11'',170,USA,Active,180.34,77.1107029
Harrison Heath,Orlando City SC,5' 11'',160,England,Active,180.34,72.5747792
Matt Hedges,FC Dallas,6' 4'',185,USA,Active,193.04,83.91458845
Jason Hernandez,New York City FC,5' 10'',170,USA,Active,177.8,77.1107029
Moises Hernandez,FC Dallas,6',155,USA,Active,182.88,70.30681735
Federico Higuain,Columbus Crew SC,5' 8'',165,Argentina,Active,172.72,74.84274105
Chandler Hoffman,Houston Dynamo,6',160,USA,Active,182.88,72.5747792
Ryan Hollingshead,FC Dallas,6' 1'',180,USA,Active,185.42,81.6466266
Antoine Hoppenot,Philadelphia Union,5' 8'',155,USA,Active,172.72,70.30681735
David Horst,Houston Dynamo,6' 4'',210,USA,Active,193.04,95.2543977
Erik Hurtado,Vancouver Whitecaps FC,5' 10'',180,USA,Active,177.8,81.6466266
Baggio Husidic,LA Galaxy,6' 1'',172,Bosnia and Herzegovina,Active,185.42,78.01788764
Kennedy Igboananike,Chicago Fire,5' 9'',154,Nigeria,Active,175.26,69.85322498
Samuel Inkoom,Houston Dynamo,5' 10'',NA,Ghana,Active,177.8,#VALUE!
Clint Irwin,Colorado Rapids,6' 3'',195,USA,Active,190.5,88.45051215
Stefan Ishizaki,LA Galaxy,5' 11'',165,Sweden,Active,180.34,74.84274105
Anthony Jackson-Hamel,Montreal Impact,6' 1'',180,USA,Active,185.42,81.6466266
Andrew Jacobson,New York City FC,6' 2'',185,USA,Active,187.96,83.91458845
Adam Jahn,San Jose Earthquakes,6' 3'',185,USA,Active,190.5,83.91458845
Sebastian Jaime,Real Salt Lake,5' 11'',160,Argentina,Active,180.34,72.5747792
Bradford Jamieson,LA Galaxy,6' 1'',165,USA,Active,185.42,74.84274105
Jared Jeffrey,D.C. United,5' 11'',165,USA,Active,180.34,74.84274105
Jack Jewsbury,Portland Timbers,6',185,USA,Active,182.88,83.91458845
Hector Jimenez,Columbus Crew SC,5' 9'',140,USA,Active,175.26,63.5029318
George John,New York City FC,6' 3'',203,USA,Active,190.5,92.07925111
Eddie Johnson,D.C. United,6',180,USA,Active,182.88,81.6466266
Will Johnson,Portland Timbers,5' 10'',160,Canada,Active,177.8,72.5747792
Sean Johnson,Chicago Fire,6' 3'',217,USA,Active,190.5,98.42954429
Jason Johnson,Houston Dynamo,6',180,Jamaica,Active,182.88,81.6466266
Jermaine Jones,New England Revolution,6',170,Germany,Active,182.88,77.1107029
Joevin Jones,Chicago Fire,5' 8'',160,Trinidad,Active,172.72,72.5747792
Darwin Jones,Seattle Sounders FC,5' 10'',175,,Active,177.8,79.37866475
José Mari,Colorado Rapids,5' 11'',150,Spain,Active,180.34,68.0388555
Igor Julião,Sporting Kansas City,5' 8'',145,Brazil,Active,172.72,65.77089365
Juninho,LA Galaxy,5' 7'',140,Brazil,Active,170.18,63.5029318
Kaká,Orlando City SC,6' 1'',181,Brazil,Active,185.42,82.10021897
Kei Kamara,Columbus Crew SC,6' 3'',186,Sierra Leone,Active,190.5,84.36818082
Alec Kann,Chicago Fire,6' 4'',190,USA,Active,193.04,86.1825503
Robbie Keane,LA Galaxy,5' 9'',160,Ireland,Active,175.26,72.5747792
Stephen Keel,FC Dallas,6',185,USA,Active,182.88,83.91458845
Taylor Kemp,D.C. United,5' 11'',153,USA,Active,180.34,69.39963261
Jon Kempin,Sporting Kansas City,6' 1'',170,USA,Active,185.42,77.1107029
Dan Kennedy,FC Dallas,6' 1'',200,USA,Active,185.42,90.718474
Perry Kitchen,D.C. United,6',160,USA,Active,182.88,72.5747792
Chris Klute,Colorado Rapids,6' 1'',172,USA,Active,185.42,78.01788764
Zat Knight,Colorado Rapids,6' 6'',225,England,Active,198.12,102.0582833
Brad Knighton,New England Revolution,6' 1'',180,USA,Active,185.42,81.6466266
Daigo Kobayashi,New England Revolution,5' 10'',150,Japan,Active,177.8,68.0388555
Gershon Koffie,Vancouver Whitecaps FC,6',175,Ghana,Active,182.88,79.37866475
Chris Konopka,Toronto FC,6' 5'',228,USA,Active,195.58,103.4190604
Chris Korb,D.C. United,5' 9'',160,USA,Active,175.26,72.5747792
JJ Koval,San Jose Earthquakes,6' 1'',175,USA,Active,185.42,79.37866475
Aaron Kovar,Seattle Sounders FC,5' 10'',155,USA,Active,177.8,70.30681735
Krzysztof Krol,Montreal Impact,6' 1'',161,Poland,Active,185.42,73.02837157
Eric Kronberg,Montreal Impact,6' 5'',210,USA,Active,195.58,95.2543977
Adam Kwarasey,Portland Timbers,6' 3'',180,Norway,Active,190.5,81.6466266
Matías Laba,Vancouver Whitecaps FC,5' 9'',154,Argentina,Active,175.26,69.85322498
Connor Lade,New York Red Bulls,5' 7'',145,USA,Active,170.18,65.77089365
Michael Lahoud,Philadelphia Union,5' 8'',162,Sierra Leone,Active,172.72,73.48196394
Matt Lampson,Columbus Crew SC,6' 3'',190,USA,Active,190.5,86.1825503
Jeff Larentowicz,Chicago Fire,6' 1'',175,USA,Active,185.42,79.37866475
Cyle Larin,,6' 2'',190,,Active,187.96,86.1825503
Sébastien Le Toux,Philadelphia Union,6',155,France,Active,182.88,70.30681735
Wandrille Lefèvre,Montreal Impact,6' 1'',175,France,Active,185.42,79.37866475
Steven Lenhart,San Jose Earthquakes,6' 1'',190,USA,Active,185.42,86.1825503
Leonardo,LA Galaxy,6' 2'',185,Brazil,Active,187.96,83.91458845
Andre Lewis,Vancouver Whitecaps FC,5' 9'',145,Jamaica,Active,175.26,65.77089365
Michael Lisch,Houston Dynamo,6' 4'',175,,Active,193.04,79.37866475
Aaron Long,Seattle Sounders FC,6' 1'',173,USA,Active,185.42,78.47148001
Mikey Lopez,Sporting Kansas City,5' 8'',160,USA,Active,172.72,72.5747792
Adrián López,Montreal Impact,6',192,Spain,Active,182.88,87.08973504
Alexander López,Houston Dynamo,5' 9'',155,Honduras,Active,175.26,70.30681735
Daniel Lovitz,Toronto FC,5' 10'',170,USA,Active,177.8,77.1107029
Damion Lowe,Seattle Sounders FC,6' 3'',175,Jamaica,Active,190.5,79.37866475
Zach Loyd,FC Dallas,5' 10'',168,USA,Active,177.8,76.20351816
Péguy Luyindula,New York Red Bulls,5' 10'',158,Democratic Republic of the Congo,Active,177.8,71.66759446
Zac MacMath,Colorado Rapids,6',176,USA,Active,182.88,79.83225712
Mike Magee,Chicago Fire,5' 10'',160,USA,Active,177.8,72.5747792
Cristian Maidana,Philadelphia Union,5' 11'',165,Argentina,Active,180.34,74.84274105
Calum Mallace,Montreal Impact,6' 1'',181,Scotland,Active,185.42,82.10021897
Kekuta Manneh,Vancouver Whitecaps FC,5' 9'',140,Gambia,Active,175.26,63.5029318
Chris Mannella,Toronto FC,5' 9'',173,Canada,Active,175.26,78.47148001
Abdoulie Mansally,Real Salt Lake,5' 10'',160,Gambia,Active,177.8,72.5747792
Justin Mapp,Montreal Impact,6' 1'',160,USA,Active,185.42,72.5747792
James Marcelin,Sporting Kansas City,6' 2'',175,Haiti,Active,187.96,79.37866475
Luis Marin,Sporting Kansas City,6' 2'',196,Chile,Active,187.96,88.90410452
Richie Marquez,Philadelphia Union,6' 2'',185,USA,Active,187.96,83.91458845
Chad Marshall,Seattle Sounders FC,6' 4'',190,USA,Active,193.04,86.1825503
Ramon Martin del Campo,,6' 2'',195,Mexico,Active,187.96,88.45051215
Felipe Martins,Montreal Impact,5' 9'',150,Brazil,Active,175.26,68.0388555
Obafemi Martins,Seattle Sounders FC,5' 7'',154,Nigeria,Active,170.18,69.85322498
Darren Mattocks,Vancouver Whitecaps FC,5' 10'',155,Jamaica,Active,177.8,70.30681735
Raïs Mbolhi,Philadelphia Union,6' 3'',176,France,Active,190.5,79.83225712
Dax McCarty,New York Red Bulls,5' 9'',150,USA,Active,175.26,68.0388555
Jack McInerney,Montreal Impact,5' 10'',151,USA,Active,177.8,68.49244787
Thomas McNamara,New York City FC,5' 9'',170,USA,Active,175.26,77.1107029
Ryan Meara,New York City FC,6' 4'',185,USA,Active,193.04,83.91458845
Tyrone Mears,Seattle Sounders FC,5' 11'',163,England,Active,180.34,73.93555631
Jimmy Medranda,Sporting Kansas City,5' 5'',150,Colombia,Active,165.1,68.0388555
Tim Melia,Sporting Kansas City,6' 1'',190,USA,Active,185.42,86.1825503
Andrés Mendoza,New York City FC,6' 2'',194,Ecuador,Active,187.96,87.99691978
Justin Meram,Columbus Crew SC,6' 1'',165,USA,Active,185.42,74.84274105
Bryan Meredith,San Jose Earthquakes,6' 2'',195,USA,Active,187.96,88.45051215
Dan Metzger,,5' 10'',163,,Active,177.8,73.93555631
Tommy Meyer,LA Galaxy,6' 2'',175,USA,Active,187.96,79.37866475
Nicolás Mezquida,Vancouver Whitecaps FC,5' 6'',150,Uruguay,Active,167.64,68.0388555
Matt Miazga,New York Red Bulls,6' 3'',185,USA,Active,190.5,83.91458845
Michel,FC Dallas,6' 1'',165,Brazil,Active,185.42,74.84274105
Roy Miller,New York Red Bulls,6' 2'',166,Costa Rica,Active,187.96,75.29633342
Eric Miller,Montreal Impact,6' 1'',175,USA,Active,185.42,79.37866475
Leonel Miranda,Houston Dynamo,5' 8'',NA,Argentina,Active,172.72,#VALUE!
Kevin Molino,Orlando City SC,5' 11'',145,Trinidad & Tobago,Active,180.34,65.77089365
Drew Moor,Colorado Rapids,6',165,USA,Active,#VALUE!,74.84274105
Luke Moore,Toronto FC,5' 9'',167,England,Active,175.26,75.74992579
Javier Morales,Real Salt Lake,5' 9'',150,Argentina,Active,175.26,68.0388555
Pedro Morales,Vancouver Whitecaps FC,5' 11'',170,Chile,Active,180.34,77.1107029
Ashtone Morgan,Toronto FC,5' 9'',156,Canada,Active,175.26,70.76040972
Justin Morrow,Toronto FC,5' 9'',153,USA,Active,175.26,69.39963261
Luke Mulholland,Real Salt Lake,5' 9'',150,England,Active,175.26,68.0388555
Patrick Mullins,New York City FC,6' 1'',175,USA,Active,185.42,79.37866475
Chance Myers,Sporting Kansas City,6',165,USA,Active,#VALUE!,74.84274105
Paulo Nagamura,Sporting Kansas City,5' 8'',155,Brazil,Active,172.72,70.30681735
Darlington Nagbe,Portland Timbers,5' 9'',165,Liberia,Active,175.26,74.84274105
Issey Nakajima-Farran,Montreal Impact,5' 10'',160,Canada,Active,177.8,72.5747792
Joe Nasco,New England Revolution,6' 3'',205,USA,Active,190.5,92.98643585
Lamar Neagle,Seattle Sounders FC,5' 11'',165,USA,Active,180.34,74.84274105
Lewis Neal,Orlando City SC,5' 11'',155,England,Active,180.34,70.30681735
John Neeskens,Colorado Rapids,6' 1'',160,USA,Active,185.42,72.5747792
Krisztian Nemeth,Sporting Kansas City,5' 11'',165,Hungary,Active,180.34,74.84274105
Steve Neumann,New England Revolution,6',165,USA,Active,#VALUE!,74.84274105
Lee Nguyen,New England Revolution,5' 8'',150,USA,Active,172.72,68.0388555
Vincent Nogueira,Philadelphia Union,5' 7'',140,France,Active,170.18,63.5029318
Patrick Nyarko,Chicago Fire,6',160,Ghana,Active,#VALUE!,72.5747792
Sanna Nyassi,San Jose Earthquakes,5' 8'',145,Gambia,Active,172.72,65.77089365
Andy O'Brien,Vancouver Whitecaps FC,6' 3'',205,England,Active,190.5,92.98643585
Shane O'Neill,Colorado Rapids,6' 2'',190,Ireland,Active,187.96,86.1825503
Jimmy Ockford,Seattle Sounders FC,6' 1'',185,USA,Active,185.42,83.91458845
Dominic Oduro,Toronto FC,6',160,Ghana,Active,#VALUE!,72.5747792
Amobi Okugo,Orlando City SC,6',175,USA,Active,#VALUE!,79.37866475
Boyd Okwuonu,,5' 9'',170,USA,Active,175.26,77.1107029
Jámison Olave,Real Salt Lake,6' 3'',210,Colombia,Active,190.5,95.2543977
Ike Opara,Sporting Kansas City,6' 2'',180,USA,Active,187.96,81.6466266
Kofi Opare,D.C. United,6' 2'',190,Canada,Active,187.96,86.1825503
Jonathan Osorio,Toronto FC,5' 9'',161,Canada,Active,175.26,73.02837157
Karl Ouimette,Montreal Impact,6',175,Canada,Active,#VALUE!,79.37866475
David Ousted,Vancouver Whitecaps FC,6' 4'',195,Denmark,Active,193.04,88.45051215
Ambroise Oyongo,New York Red Bulls,5' 9'',150,Cameroon,Active,175.26,68.0388555
Lovel Palmer,Chicago Fire,5' 10'',160,Jamaica,Active,177.8,72.5747792
Erik Palmer-Brown,Sporting Kansas City,6' 1'',175,USA,Active,185.42,79.37866475
Norberto Paparatto,Portland Timbers,6' 3'',180,Argentina,Active,190.5,81.6466266
Marco Pappa,Seattle Sounders FC,5' 10'',155,Guatemala,Active,177.8,70.30681735
Jeff Parke,,6' 1'',185,USA,Active,185.42,83.91458845
Michael Parkhurst,Columbus Crew SC,5' 11'',159,USA,Active,180.34,72.12118683
Kévin Parsemain,Seattle Sounders FC,5' 10'',165,Martinique,Active,177.8,74.84274105
Heath Pearce,Orlando City SC,5' 10'',175,USA,Active,177.8,79.37866475
Taylor Peay,Portland Timbers,6' 2'',185,USA,Active,187.96,83.91458845
Agustín Pelletieri,,5' 8'',159,Argentina,Active,172.72,72.12118683
Jaime Penedo,LA Galaxy,6',160,Panama,Active,#VALUE!,72.5747792
Jeanderson Pereira,Portland Timbers,5' 11'',160,Brazil,Active,180.34,72.5747792
Blas Pérez,FC Dallas,6' 1'',174,Panama,Active,185.42,78.92507238
